,0
395,ENSG00000142945
396,ENSG00000120699
397,ENSG00000189057
398,ENSG00000149948
399,ENSG00000205937
400,ENSG00000132475
401,ENSG00000187837
402,ENSG00000165527
403,ENSG00000176340
404,ENSG00000064961
405,ENSG00000172336
406,ENSG00000092531
407,ENSG00000117724
408,ENSG00000162980
409,ENSG00000101773
410,ENSG00000133119
411,ENSG00000103121
412,ENSG00000125970
413,ENSG00000006327
414,ENSG00000131016
415,ENSG00000197771
416,ENSG00000117592
417,ENSG00000189159
418,ENSG00000114346
419,ENSG00000122566
420,ENSG00000249992
421,ENSG00000152952
422,ENSG00000163808
423,ENSG00000164087
424,ENSG00000163320
425,ENSG00000106268
426,ENSG00000157456
427,ENSG00000065911
428,ENSG00000135334
429,ENSG00000149809
430,ENSG00000173786
431,ENSG00000139921
432,ENSG00000185361
433,ENSG00000233639
434,ENSG00000138376
435,ENSG00000164096
436,ENSG00000143799
437,ENSG00000104388
438,ENSG00000143933
439,ENSG00000175305
440,ENSG00000138495
441,ENSG00000162910
442,ENSG00000136104
443,ENSG00000167325
444,ENSG00000118193
445,ENSG00000078018
446,ENSG00000055211
447,ENSG00000008517
448,ENSG00000139618
449,ENSG00000105355
450,ENSG00000111206
451,ENSG00000106278
452,ENSG00000100281
453,ENSG00000134057
454,ENSG00000188486
455,ENSG00000112110
456,ENSG00000182103
457,ENSG00000136908
458,ENSG00000120885
459,ENSG00000135919
460,ENSG00000100749
461,ENSG00000121644
462,ENSG00000167900
463,ENSG00000187840
464,ENSG00000148229
465,ENSG00000120992
466,ENSG00000149929
467,ENSG00000110841
468,ENSG00000111445
469,ENSG00000143549
470,ENSG00000080824
471,ENSG00000099860
472,ENSG00000101335
473,ENSG00000116750
474,ENSG00000140545
475,ENSG00000108528
476,ENSG00000167543
477,ENSG00000131876
478,ENSG00000175643
479,ENSG00000182481
480,ENSG00000179262
481,ENSG00000136888
482,ENSG00000100345
483,ENSG00000140451
484,ENSG00000093009
485,ENSG00000131153
486,ENSG00000198826
487,ENSG00000170584
488,ENSG00000182004
489,ENSG00000204542
490,ENSG00000174792
491,ENSG00000112769
492,ENSG00000134333
493,ENSG00000132341
494,ENSG00000115241
495,ENSG00000143545
496,ENSG00000112118
497,ENSG00000103275
498,ENSG00000165704
499,ENSG00000129534
500,ENSG00000123560
501,ENSG00000070081
502,ENSG00000144034
503,ENSG00000174721
504,ENSG00000132646
505,ENSG00000172965
506,ENSG00000052802
507,ENSG00000130816
508,ENSG00000160201
509,ENSG00000172301
510,ENSG00000103260
511,ENSG00000119403
512,ENSG00000169738
513,ENSG00000150551
514,ENSG00000166451
515,ENSG00000152082
516,ENSG00000144834
517,ENSG00000213719
518,ENSG00000123374
519,ENSG00000160888
520,ENSG00000119969
521,ENSG00000009954
522,ENSG00000117650
523,ENSG00000122861
524,ENSG00000168061
525,ENSG00000100526
526,ENSG00000102007
527,ENSG00000086666
528,ENSG00000129195
529,ENSG00000152240
530,ENSG00000013810
531,ENSG00000148773
532,ENSG00000170515
533,ENSG00000079931
534,ENSG00000080986
535,ENSG00000169813
536,ENSG00000182054
537,ENSG00000198901
538,ENSG00000169230
539,ENSG00000167005
540,ENSG00000105968
541,ENSG00000163882
542,ENSG00000132780
543,ENSG00000145386
544,ENSG00000251562
545,ENSG00000213551
546,ENSG00000110958
547,ENSG00000133639
548,ENSG00000099817
549,ENSG00000105854
550,ENSG00000170540
551,ENSG00000149636
552,ENSG00000121957
553,ENSG00000076003
554,ENSG00000128245
555,ENSG00000055044
556,ENSG00000100028
557,ENSG00000161981
558,ENSG00000179041
559,ENSG00000100097
560,ENSG00000124207
561,ENSG00000130826
562,ENSG00000124588
563,ENSG00000119335
564,ENSG00000168386
565,ENSG00000094916
566,ENSG00000066583
567,ENSG00000010292
568,ENSG00000101084
569,ENSG00000183696
570,ENSG00000198168
571,ENSG00000124766
572,ENSG00000204308
573,ENSG00000164543
574,ENSG00000165732
575,ENSG00000008952
576,ENSG00000124762
577,ENSG00000132661
578,ENSG00000169679
579,ENSG00000139910
580,ENSG00000107672
581,ENSG00000133302
582,ENSG00000024526
583,ENSG00000104765
584,ENSG00000113558
585,ENSG00000011426
586,ENSG00000106628
587,ENSG00000166598
588,ENSG00000144339
589,ENSG00000128951
590,ENSG00000137831
591,ENSG00000069275
592,ENSG00000148335
593,ENSG00000175063
594,ENSG00000109519
595,ENSG00000158402
596,ENSG00000150625
597,ENSG00000148926
598,ENSG00000152661
599,ENSG00000127445
600,ENSG00000176894
601,ENSG00000141560
602,ENSG00000075336
603,ENSG00000108691
604,ENSG00000117519
605,ENSG00000109685
606,ENSG00000053371
607,ENSG00000122565
608,ENSG00000204356
609,ENSG00000133101
610,ENSG00000189306
611,ENSG00000165948
612,ENSG00000109971
613,ENSG00000116062
614,ENSG00000160813
615,ENSG00000138778
616,ENSG00000257727
617,ENSG00000112742
618,ENSG00000163069
619,ENSG00000152944
620,ENSG00000096746
621,ENSG00000105011
622,ENSG00000148688
623,ENSG00000105202
624,ENSG00000094804
625,ENSG00000136159
626,ENSG00000168393
627,ENSG00000136156
628,ENSG00000125148
629,ENSG00000119640
630,ENSG00000161542
631,ENSG00000137310
632,ENSG00000089685
633,ENSG00000088325
634,ENSG00000035928
635,ENSG00000125398
636,ENSG00000213853
637,ENSG00000228474
638,ENSG00000142856
